Input,Output
"-The Grolier Journal has 240 pages and is rich in style and substance
-It is made with acid-free paper and 100% recycled paper
-The company is paying a self-imposed company carbon tax proportional to the GHG releases
-The journal has a memento pouch and a ribbon marker","This  Grolier journal is perfect for those who want to make a difference. It is made with acid-free paper and 100% recycled paper. The company is paying a self-imposed company carbon tax proportional to the GHG releases. So, by purchasing this journal, you are helping the environment! 

The journal has 240 pages and is rich in style and substance. It also has a memento pouch and a ribbon marker. Get yours today and start journaling for a cause!"
"-The album is 6"" x 8""/15cm x 21cm with a hard craft cover
-There are 18 sheets or 34 pages of each album
-The album has a unique accordion design
-The album has a tightening strap to keep your secrets away from others
-The album is suitable for a wedding album book, a student graduation commemorative, a mother pregnant album book, or a baby growth album book
-The album makes an excellent gift","Get  this unique accordion design album to store your memories! The album is 6"" x 8""/15cm x 21cm with a hard craft cover. There are 18 sheets or 34 pages of each album. The album has a tightening strap to keep your secrets away from others. The album is suitable for a wedding album book, a student graduation commemorative, a mother pregnant album book, or a baby growth album book. The album makes an excellent gift!"
"-The cover of PU material has strong wear resistance
-It is difficult to be deformed and is not cracked
-POCKET CARRYING is convenient to carry ,small but high quality
-PREFECT DESIGN is simple design applies to anyone
-SCOPE OF APPLICATION is wide and can be used for sketching, design, illustration, coloring, memo, diary, and schedule book
-The quality is high with a strong cover and thick pages that are resistant to folding.","Get  the perfect sketchbook to take on the go with the Antner Pocket Sketchbook. The cover is made of PU material for strong wear resistance, and it is difficult to be deformed and cracked. The small but high quality sketchbook is perfect for sketching, design, illustration, coloring, memo, diary, and schedule book. It is also pocket sized for easy carrying. With thick pages that are resistant to folding, this sketchbook is sure to last you a long time."
"
-This blank page journal cover features a durable and water-resistant smooth PU leather in various color options.
-Our PU Leather Materials passed Oeko-Tex Standard 100, REACH, ROHS and California Proposition 65 certification,it is a safe and green companion for all walks of life.
-It can be used as a bullet journal, school journal, travel notebook,diary, business/executive/ office notebook,planner etc.
-Premium Thick PaperOur blank notebook created with high quality FSC certified & acid free ivory paper so that your pen will glide smoothly.
-Soft feels to touch, smooth to write on, thick enough to prevent bleeding and ghosting, no feathering and bleeding. Providing excellent writing experience.
-Special DesignThis plain notebook measures 5.23""X8.38"" (133 X 213 mm), it has a handy-dandy pocket in the back to keep business cards, notes, receipts and other small paper items.
-The elastic closure helps keep notebook securely closed.
-The attached full-length ribbon bookmark makes it easy to write in the notebook from where you left off last time.
-Quality ConstructionThis classic hardcover blank notebook features a PU leather cover, the pages are thick and cut evenly, thread-bound to open flat which helps make reading the contents easy and adds efficiency to note-taking.
-Sturdy design ensures your journal will last for years to come.
-100% Satisfaction GuaranteedWith more than 20 years of notebook design and manufacturing experience,We are committed to bringing our customers premium paper products using high quality material, top construction and innovative design.
-We believe you will love our notebook once you choose it and star your writing journey...","This  blank page journal cover features a durable and water-resistant smooth PU leather in various color options. Our PU Leather Materials passed Oeko-Tex Standard 100, REACH, ROHS and California Proposition 65 certification,it is a safe and green companion for all walks of life. 

It can be used as a bullet journal, school journal, travel notebook,diary, business/executive/ office notebook,planner etc. Premium Thick PaperOur blank notebook created with high quality FSC certified & acid free ivory paper so that your pen will glide smoothly. Soft feels to touch, smooth to write on, thick enough to prevent bleeding and ghosting, no feathering and bleeding. Providing excellent writing experience. 

Special DesignThis plain notebook measures 5.23""X8.38"" (133 X 213 mm), it has a handy-dandy pocket in the back to keep business cards, notes, receipts and other small paper items. The elastic closure helps keep notebook securely closed. The attached full-length ribbon bookmark makes it easy to write in the notebook from where you left off last time. 

Quality ConstructionThis classic hardcover blank notebook features a PU leather cover, the pages are thick and cut evenly, thread-bound to open flat which helps make reading the contents easy and adds efficiency to note-taking. Sturdy design ensures your journal will last for years to come. 

100% Satisfaction GuaranteedWith more than 20 years of notebook design and manufacturing experience,We are committed to bringing our customers premium paper products using high quality material, top construction and innovative design. We believe you will love our notebook once you choose it and star your writing journey..."
"
-Hardcover with a professional look
-Thick 120GSM paper that is fountain pen friendly
-Packed with features to help you stay organized
-Hardbound to lay flat
-Satisfaction guarantee",This  hardcover notebook has a professional look and feel. The thick 120GSM paper is fountain pen friendly and packed with features to help you stay organized. The hardbound construction allows the notebook to lay flat for ease of use. We are so confident in the quality of our products that we offer a satisfaction guarantee.
"-This notebook features a durable and water-resistant vegan leather cover, rounded corners, 160 pages, inner expandable pocket, sticker labels, ribbon bookmark & elastic closure band.
-Made with high-quality, 100 gsm, acid-free paper in light ivory color, our journal paper is thicker than average notebooks & writing pads.
-Our thread-bound notebook is designed to lay flat, making it easier to write for both right and left-handed users.
-Includes an expandable inner storage pocket to keep track of appointment cards, notes, receipts, and more.
-Personalize your journal cover & spine with the sheet of sticker labels included.
-Our journals are designed in a variety of beautiful and fun colors available in a selection of page styles, including Lined (for notetaking), Blank (for sketching), and Dotted (for bullet journaling).","This  notebook features a durable and water-resistant vegan leather cover, rounded corners, 160 pages, inner expandable pocket, sticker labels, ribbon bookmark & elastic closure band. Made with high-quality, 100 gsm, acid-free paper in light ivory color, our journal paper is thicker than average notebooks & writing pads. 

Our thread-bound notebook is designed to lay flat, making it easier to write for both right and left-handed users. Includes an expandable inner storage pocket to keep track of appointment cards, notes, receipts, and more. Personalize your journal cover & spine with the sheet of sticker labels included. 

Our journals are available in a variety of beautiful and fun colors, with a selection of page styles to choose from, including Lined (for notetaking), Blank (for sketching), and Dotted (for bullet journaling)."
"-This medium 5.7 in by 8 in lined notebook features durable and water-resistant vegan leather cover, rounded corners, 160 pages, inner expandable pocket, sticker labels, ribbon bookmark & elastic closure band
-Made with high-quality, 100 gsm acid-free paper in light ivory color, our journal paper is thicker than average notebooks & writing pads
-Our thread-bound notebook is designed to lay flat, making it easier to write for both right and left-handed users
-Journaling, note taking and planning has never been more convenient
-Our journals are designed in a variety of beautiful and fun colors available in a selection of page styles, including Lined (for notetaking), Blank (for sketching), and Dotted (for bullet journaling)
-Includes an expandable inner storage pocket to keep track of appointment cards, notes, receipts, and more","The  Antner Medium Lined Notebook is perfect for journaling, note taking, and planning. It features durable and water-resistant vegan leather cover, rounded corners, 160 pages, inner expandable pocket, sticker labels, ribbon bookmark & elastic closure band. Made with high-quality, 100 gsm acid-free paper in light ivory color, our journal paper is thicker than average notebooks & writing pads. 

Our thread-bound notebook is designed to lay flat, making it easier to write for both right and left-handed users. Journaling, note taking and planning has never been more convenient. Our journals are designed in a variety of beautiful and fun colors available in a selection of page styles, including Lined (for notetaking), Blank (for sketching), and Dotted (for bullet journaling). 

This journal also includes an expandable inner storage pocket to keep track of appointment cards, notes, receipts, and more. Get yours today and start planning your way to success!"
"-This journal/notebook has a hardcover and is black
-It is 5.5 by 8.4 inches and has 160 pages
-The pages are made of acid-free paper
-The journal has 3 ribbon bookmarks and an elastic closure
-The back pocket can hold notes, cards, and extra paperwork
-YeeATZ is the abbreviation of ""Yearn for Every Excellence from A to Z""","Get  organized and stylish with this black hardcover journal/notebook from YeeATZ. It measures 5.5 by 8.4 inches and has 160 pages of acid-free paper. The journal has 3 ribbon bookmarks and an elastic closure to keep your place, as well as a back pocket to hold notes, cards, and extra paperwork. 

YeeATZ is the abbreviation of ""Yearn for Every Excellence from A to Z"". We are a company that is dedicated to providing high-quality products and excellent customer service. Order your journal today and start living your best life!"
"-256 unlined pages with watercolor illustrations in the background
-100gsm thick paper which is much thicker than normal paper in the market
-Hardcover journal with flying dandelion design
-Round corner design
-Size 5.1 x 7.5 inch
-The ribbon mark will convenience for you to mark the page you want.","The  Antner hardcover journal with flying dandelion design is a beautiful and unique journal that will make writing a pleasure. With 256 unlined pages and 100gsm thick paper, it is much thicker than normal paper in the market. The round corner design and ribbon mark will convenience for you to mark the page you want. The hardcover journal is also sized 5.1 x 7.5 inches, making it the perfect size for carrying around with you."
"-Each kraft notebook has 30 blank ivory-colored pages that are sewn into the kraft paper cover
-The kraft notebooks are perfect for writing, doodling, as a travel diary, or encouraging young children to let their imagination run wild
-The journals are perfectly sized to fit into your pocket, folder, or backpack
-The blank journals can be gifted as fun travel party favors for an upcoming safari or travel-themed birthday party or classroom celebration","With  these 30-page kraft notebooks, you can let your imagination run wild! The blank ivory-colored pages are perfect for writing, doodling, as a travel diary, or encouraging young children to let their imagination run wild. The journals are perfectly sized to fit into your pocket, folder, or backpack and can be gifted as fun travel party favors for an upcoming safari or travel-themed birthday party or classroom celebration."
"-Make Your Own Hardcover Comic Book set from Made By Me includes everything you need to create your own comic
-How to Draw Guide included
-Stamp & Stick-on some Kapow with stamps, stickers, and stencils
-Set includes: 1 Hardcover Comic Book 15 Pages, 1 How-to-Draw Guide, 5 Markers, 1 Wooden Stamp, 1 Black Stamp Pad with Lid, 1 Stencil, 1 Ballpoint Pen, 2 Sticker Sheets, 2 Holographic Sticker Sheets","With  the Made By Me Make Your Own Hardcover Comic Book set, you can create your own comic book from start to finish. The set includes a hardcover comic book with 15 pages, a how-to-draw guide, 5 markers, a wooden stamp, a black stamp pad with lid, a stencil, a ballpoint pen, 2 sticker sheets, and 2 holographic sticker sheets. So stamp and stick-on some Kapow with stamps, stickers, and stencils and let your imagination run wild!"
"-100 pages
-1/2 wide ruled and 1/2 unruled at the top
-Inside cover has printed capital and lowercase letters of the alphabet in both block letters and cursive writing for visual reference
-Durable hardcovers, front and back, in black marble design
-Pages are sewn and tape-bound into the spine for extra strength
-Includes twelve, one-subject primary journals, 100 sheets/200 page each, 7.5 inch x 9.75 inch","With  these 100-page, black marble design journals, you'll have plenty of space to write down your thoughts, musings, and ideas. Each journal contains 1/2 wide ruled and 1/2 unruled pages at the top, with the inside cover printed with capital and lowercase letters of the alphabet in both block letters and cursive writing for visual reference. The pages are sewn and tape-bound into the spine for extra strength, and the journals are finished with durable hardcovers, front and back. 

This set includes twelve, one-subject primary journals, 100 sheets/200 pages each, measuring 7.5 inches x 9.75 inches. Whether you're using them for school, work, or just for fun, these journals are sure to come in handy!"
"
-Woxteed cookbook is an all-in-one recipe book that is designed for comfort and style
-The recipe book is made of high quality materials and is lightweight and durable
-The recipe book has replaceable sheets and is able to be stored on small open shelves
-The recipe book makes a perfect gift for anyone who loves to cook",This  Woxteed cookbook is an all-in-one recipe book that is designed for comfort and style. The recipe book is made of high quality materials and is lightweight and durable. The recipe book has replaceable sheets and is able to be stored on small open shelves. The recipe book makes a perfect gift for anyone who loves to cook.
"
-The notebook is small sized at 135mm*185mm/5.3*7.2in
-It has 192 pages of thick paper that is colored
-The notebook is designed for a number of purposes such as gratitude journaling, taking notes, and bullet journaling
-It makes a great gift for young writers and friends
-The notebook has a hard cover with a linen design
-The notebook is available in a variety of colors and themes","This  cute and practical notebook is perfect for a number of purposes, such as gratitude journaling, taking notes, and bullet journaling. The notebook is small sized at 135mm*185mm/5.3*7.2in and has 192 pages of thick, colored paper. It makes a great gift for young writers and friends. 

The notebook has a hard cover with a linen design and is available in a variety of colors and themes. Choose your favorite and start writing today!"
"-Each hardcover blank notebook has 120 sheets/240 pages of inner pages, and three sketchbooks have 360 sheets/720 pages of inner pages
-The size of blank notebook is 5.6*8.2 inches (14 x 21 cm)
-This sketch notebook is made of high-quality materials
-The inside pages of this hardcover journal are made of 100gsm paper
-This sketch journal notebook can be placed flat, and the 180-degree opening enables you to fully expand this sketchbook
-This hardcover journal has a wide range of uses","This  hardcover journal notebook is perfect for a wide range of uses. Each journal has 120 sheets/240 pages of inner pages, and the three sketchbooks have 360 sheets/720 pages of inner pages. The size of the blank notebook is 5.6*8.2 inches (14 x 21 cm). 

This sketch notebook is made of high-quality materials, and the inside pages of this hardcover journal are made of 100gsm paper. This sketch journal notebook can be placed flat, and the 180-degree opening enables you to fully expand this sketchbook."
"-This notebook is made from durable smooth PU leather, 100GSM acid-free paper and the leather materials certified to Oeko-Tex Standard 100, REACH, ROHS, and California Proposition 65
-It features utilitarian elements, including a sturdy leather notebook cover, rounded corners, elastic closure, ivory pages, matching bookmark ribbon and an expandable inner back pocket
-The 100GSM thick paper ensures that each page is resistant to ink bleeding, erasure, ghosting and shadowing
-This notebook measures 8.5""X11.6""X0.67""(215 X 296 X17mm) and is perfect for business executives, office, work, home, or college
-It makes a great gift for school, children, friends, or business colleagues","Get  the perfect notebook for business executives, office, work, home, or college with this smooth PU leather notebook. It features 100GSM acid-free paper, rounded corners, elastic closure, ivory pages, matching bookmark ribbon and an expandable inner back pocket. The 100GSM thick paper ensures that each page is resistant to ink bleeding, erasure, ghosting and shadowing. 

This notebook measures 8.5""X11.6""X0.67""(215 X 296 X17mm) and is perfect for business executives, office, work, home, or college. It makes a great gift for school, children, friends, or business colleagues."
"
-This 5.83"" x 4.13"" journal focusing on easy and efficient planning, scheduling and organizing your successful life and you can use it for note-taking or painting and so on.
-This hardcover journal is the best choice for home, work office and family.
-There is a bookmark in this journal.
-In order to avoid the ink feathering and seepage, this ruled journal uses high quality and thick paper which is thicker than other journals.
-Also, this lined journal uses ivory paper to provide a better writing experience by using this notebook.
-There are 160 pages/80 sheets in this journal, which provide you with plenty space for note-taking, planning or scheduling.
-Ideal for all office, school and home uses, including for taking notes and keeping work in order, as a diary or journal for brainstorming ideas, creative writing or just doodling and drawing to your hearts content.
-Also, it is a perfect a gift choice for friends, family, classmates, and coworkers!
-Lightweight notebook easily fits in backpacks or briefcases and keeps you prepared for the day ahead.","Get  organized and take control of your life with this 5.83"" x 4.13"" journal. This hardcover journal is the best choice for home, work office and family. There is a bookmark in this journal. In order to avoid the ink feathering and seepage, this ruled journal uses high quality and thick paper which is thicker than other journals. Also, this lined journal uses ivory paper to provide a better writing experience by using this notebook. 

There are 160 pages/80 sheets in this journal, which provide you with plenty space for note-taking, planning or scheduling. Ideal for all office, school and home uses, including for taking notes and keeping work in order, as a diary or journal for brainstorming ideas, creative writing or just doodling and drawing to your hearts content. Also, it is a perfect a gift choice for friends, family, classmates, and coworkers! Lightweight notebook easily fits in backpacks or briefcases and keeps you prepared for the day ahead."
"-The album has a luxurious feel and is made of high-quality materials
-The pages are made of premium, acid-free paper that is durable and writable
-The album is multi-purpose and can be used as an instant photo collection, travel journal, wedding book, etc.
-The album is compatible with multiple photos sizes, up to 2.1 x 3.4
-The cover material is 100% polyester","This  Antner Photo Album is perfect for anyone who wants to preserve their memories in a luxurious, high-quality album. The pages are made of premium, acid-free paper that is durable and writable. The album is also multi-purpose and can be used as an instant photo collection, travel journal, wedding book, etc. 

The album is compatible with multiple photos sizes, up to 2.1 x 3.4. The cover material is 100% polyester. Keep your memories safe and sound in this beautiful album!"
"-You can use your favorite photo sticky on the Hardcover to design your own unique photo album.
-It will be a perfect photo album for keeping your wonderful moments.
-Exquisite Workmanship: with hardcovers and thick acid-free paper, not easy to fold; Fine material and exquisite details, sturdy inside pages in elegant black, durable to use
-Great Design:360 degree sheet rotation of spiral bound, convenient for opening and closing; more elegant in whole appearance
-Perfect Gift: Valentines day gifts for her/ him, Christmas gift, Mothers' Day gift, baby shower gift, Birthday gifts, Wedding guest book, Photo Storage, Travel Record, or adventure book.
-Dimensions: 10 x 10 inches album, 40 sheets(total 80 pages)","Get  this beautiful and unique spiral bound photo album to design your own personal photo album. Made with hardcovers and thick acid-free paper, it is not easy to fold and will last a long time. The 360 degree sheet rotation is convenient for opening and closing, and the overall design is more elegant. This would make a perfect Valentines day gift, Christmas gift, Mothers' Day gift, baby shower gift, Birthday gift, Wedding guest book, Photo Storage, Travel Record, or adventure book. Dimensions: 10 x 10 inches album, 40 sheets(total 80 pages)."
"-Larger Page Size: 96 pages of A3 sized textured paper (11.69""x16.53""), 170gsm, neutral PH, acid free.
-Textured Embossed Cover: A classic, waterproof, solid hardboard covers that protects your pages from creasing. Textured imitation leather embossed cover, very artistic.
-High Quality Paper: perfect for ink, marker, colored pencil, pen, crayon, pastel and charcoal, etc. Also works for light touch watercolor paintings. Well absorbent and minimal ghosting / bleed-through.
-A Number of Uses: drawing & sketching, art journal, sketchbooks for kids, sketchbook journal and many more.
-High Quality after Service: If you have any issue with this product , please contact use freely , we will sort it out for you immediately.","This  high quality sketchbook from Antner is perfect for a number of uses, such as drawing and sketching, art journaling, and sketchbooks for kids. It features 96 pages of A3 sized textured paper (11.69""x16.53""), 170gsm, neutral PH, acid free. The textured embossed cover is a classic, waterproof, solid hardboard that protects your pages from creasing. The textured imitation leather embossed cover is very artistic. 

The paper is perfect for ink, marker, colored pencil, pen, crayon, pastel and charcoal, etc. It also works for light touch watercolor paintings. The paper is well absorbent and minimizes ghosting / bleed-through. If you have any issue with this product , please contact us freely , we will sort it out for you immediately."
"-Names, date, wording, book color, foil color and pages can be customized
-Hardcover case bound with matte finish and white bookmark ribbon
-Pick from 50 or 100 archival blank or lined 70# weight pages
-10x8 white and silver foil guest book featured in pictures
-Choice of gold, silver, and rosegold raised metallic foil
-50 or 100 archival sheets using either white blank, white lined or black pages
-White lined pages are right side only (see picture)
-Customizeable design exclusive to Personalized Gift Market
-Designed, created and shipped from the USA","The  Personalized Gift Market Custom Guest Book is the perfect way to commemorate any special event! Names, date, wording, book color, foil color and pages can all be customized to create a one-of-a-kind guest book that is sure to be cherished for years to come. 

This hardcover case bound guest book features a matte finish and white bookmark ribbon. You can choose from 50 or 100 archival blank or lined 70# weight pages. The 10x8 white and silver foil guest book featured in pictures is available with gold, silver, or rosegold raised metallic foil. 

Our custom guest books are designed, created and shipped from the USA. Order your Personalized Gift Market Custom Guest Book today!"
"- HIGH QUALITY PAPERS -- 80gsm 660 pages Thick Paper, the pages are cream, safe,eco-friendly and relieve eyes fatigue
- You can write or draw fluent on the paper,no leak worry, tear/scratch resistant and bleeding resistant
- SIZE -- A5 size: 21x14.5 cm. Portable size,easy to carry, you can just put into your bags easily while you are travelling
- PU LEATHER COVER -- With PU leather hardcover notebook will protect your journal to last for years
- Smooth to the touch, fine workmanship, waterproof, dustproof
- And tight binding, paper will not fall off
- 180 OPEN -- Let you reading more easy and note-taking efficiency
- Durable cover adapts to the movements of body without damage
- Elastic closure strap keeps it securely closed
- Easy to carry!
- VERSATILE & MULTIPURPOSE USE -- This plain notebook can be used for almost anything you want, Whether its making sketches, drawings, manga, record keeping, scrapbooking, or writing a journal of your day to day activities","The  Antner A5 size PU leather hardcover notebook is perfect for a variety of uses, such as making sketches, drawings, manga, record keeping, scrapbooking, or writing a journal of your day to day activities. With its HIGH QUALITY PAPERS -- 80gsm 660 pages Thick Paper, the pages are cream, safe, eco-friendly and relieve eyes fatigue. You can write or draw fluent on the paper, no leak worry, tear/scratch resistant and bleeding resistant. The size is also convenient and portable for easy carrying. 

The PU leather cover is smooth to the touch, with fine workmanship and is waterproof and dustproof. The binding is tight so the paper will not fall out and the elastic closure strap keeps it securely closed. The notebook is easy to carry and will last for years!"
"-The sketchbook has a twin wire bound edge which allows the book to lie flat and makes page turning a breeze
-The sketchbook is using 160gsm, suitable for all artists
-In addition to the high quality paper, weve added a sturdy hardback kraft cover to provide added support and protection to your masterpieces","This  high quality sketchbook from Antner is perfect for all artists! The 160gsm paper is suitable for all mediums, and the twin wire bound edge allows the book to lie flat and makes page turning a breeze. In addition to the high quality paper, weve added a sturdy hardback kraft cover to provide added support and protection to your masterpieces."
"
-GET 4PCS BLANK NOTEBOOKS: blank notebook is idea for who looking for a notebook with simple design, the lay flat design and the blank inner pages will support wiring and drawing freely.
-PORTABLE SIZE FOR SCHOOL OFFICE: blank journal size is 5.6x8.27inch/14x21cm, medium size(nearly A5 size), it is a portable size can easily put in the schoolbag or handbag, comfortable size for you to take out for study and work.
-EXTRA QUALITY-CRAFTED: unlined journal notebooks are used 100gsm acid-free paper, the color is cream white, high-quality inner papers, you never have to fear you pencil, colored pencil, pen, watercolor pen will bleed ink or disappear.
-MEET YOUR DIFFERENT CREATIVE IDEA: notebook cover is made of 150g thick kraft paper, the cover is blank from front and back, so you can draw and write on the cover as you like, let your big idea show on the cover.
-VARIOUS USAGES AND GIFT IDEA: blank page notebook can be used for sketches, drawings, diaries, travel diaries, poetry works, creative writing, work records, study notes, mood diaries, and scrapbooks. Surprise your kids or best friend with a thoughtful gift on any occasion.","Get  the Antner 4-piece blank notebook set and let your creativity flow! These notebooks are perfect for sketches, drawings, diaries, travel diaries, poetry works, creative writing, work records, study notes, mood diaries, and scrapbooks. Each notebook is made of 100gsm acid-free paper and the cover is made of 150g thick kraft paper. The blank inner pages and blank cover allow you to design the notebook any way you want! 

The notebooks are a portable size at 5.6x8.27inch/14x21cm and come in a variety of colors. They make a great gift for kids or friends on any occasion!"
"
-This is a large journal, 8.4x11.4 inches (214x290 mm), 0.94 inches (24 mm) thick, that weighs approximately 2.5 pounds (1.15 kg)
-It has a thick hardcover, 416 pages (208 sheets) of paper that is stitched with thread, can be opened at 180 degrees and laid flat without falling pages
-The soft faux leather cover is comfortable to the touch, strong and durable
-This journal uses 80 gsm high-quality A4 paper, 8.3x11.2 inches(210x285 mm)
-It is fountain pen friendly and there is no bleed through with ink
-This journal is very suitable for taking notes, writing diaries, creating, drawing, office, and helping you record more content
-It makes a great sincere gift to friends, children, classmates, colleagues and employees","The  Antner large journal is perfect for taking notes, writing diaries, creating, drawing, and office use. It is 8.4x11.4 inches (214x290 mm), 0.94 inches (24 mm) thick, and weighs approximately 2.5 pounds (1.15 kg). It has a thick hardcover, 416 pages (208 sheets) of paper that is stitched with thread, can be opened at 180 degrees and laid flat without falling pages. 

The soft faux leather cover is comfortable to the touch, strong and durable. This journal uses 80 gsm high-quality A4 paper, 8.3x11.2 inches(210x285 mm). It is fountain pen friendly and there is no bleed through with ink. This journal is very suitable for taking notes, writing diaries, creating, drawing, office, and helping you record more content. It makes a great sincere gift to friends, children, classmates, colleagues and employees."
"
-Double-sided, sturdy hardcover board coated with black textured cover
-Offers strong support and protection
-Sketchbook pad size: 9""x12""
-High quality paper, 63lbs/95gsm, acid free
-80 sheets, fine textured and unbleached paper
-Perforated edging for easy tearing
-Twin spiral bound for easy access to pages
-Elastic pen holder on cover
-Calendar design on cover
-Premium quality and value price","The  Canson Double-Sided Black Sketchbook 9""x12"" is perfect for artists of all levels. The hardcover board is double-sided and coated with a black textured cover, offering strong support and protection. The sketchbook pad size is 9""x12"" and the paper is high quality, 63lbs/95gsm, acid free. 

There are 80 sheets, fine textured and unbleached paper, with a perforated edging for easy tearing. The book is twin spiral bound for easy access to pages and has an elastic pen holder on the cover. The calendar design on the cover is a nice added touch. Premium quality and value price!"
"-This sketchbook can be used on both sides
-It has 60 sheets each sketchbook with fine double-sided texture paper
-The paper is easier to color, making your wonderful artworks more natural
-The sketchbook is made of premium 100% acid-free and non-faded paper
-The hardbound binding allows you to adopt a lay-flat orientation
-Measuring 9 x 12 x 0.5"" inches (Paper Size: 8.5 x 11)
-The sketchbook is very portable and can be put in almost all kinds of backpacks
-The large size of 9*12 inches allows you to give full play to your painting skills
-The hard bottom pad both of the covers defiantly help protect your artwork safely","This  100% acid-free and non-faded paper sketchbook can be used on both sides. It has 60 sheets each sketchbook with fine double-sided texture paper. The paper is easier to color, making your wonderful artworks more natural. The hardbound binding allows you to adopt a lay-flat orientation. Measuring 9 x 12 x 0.5"" inches (Paper Size: 8.5 x 11), the sketchbook is very portable and can be put in almost all kinds of backpacks. The large size of 9*12 inches allows you to give full play to your painting skills. The hard bottom pad both of the covers defiantly help protect your artwork safely."
"-BEAUTIFULLY CRAFTED & UNIQUE: Soft & Supple Dark Brown Genuine Leather. A lovely vintage style and feel with a gorgeous, real leather scent. A special keepsake for your thoughts, plans & ideas
-PERFECT SIZE 10 inch by 7 inch MANY USES: 4 inch thickness, easy for handwriting, drawing or sketching and compact for carrying in your bag.
-Beautiful hand made large tree of life embossed on it which related to fortune this one is very beautiful handmade leather journal.
-Tell your story: We designed this classic leather journal as a time capsule for your thoughts. Capture your important memories, accomplishments
-The Journal Is fantastic Made With leather use for leather journal WRITING JOURNAL BLANK JOURNAL FOR MEN AND WOMEN","With  this beautifully crafted and unique dark brown genuine leather journal, you can easily capture your important memories and accomplishments. The soft and supple leather has a lovely vintage style and feel with a gorgeous, real leather scent. This journal is the perfect size for handwriting, drawing or sketching and is compact for carrying in your bag. It also features a beautiful hand made large tree of life embossed on it which is related to fortune. This one is very beautiful handmade leather journal."
"-Golbsart professional sketch book for drawings has 8.5x11 inches pages made of 110lb/180gsm acid-free drawing paper
-The sketch book is specially developed for longer lasting and high resistance to aging and yellowness
-The drawing surface of each page of sketch books for kids 9-12 has moderate roughness for better adherence of pencil, charcoal and other dry media
-Unlike ordinary spiral bound drawing pad, this mixed media sketchbook is designed with thread binding technology for stronger fixation of the pages and longer service life
-This hardcover professional sketch pads for drawing for adults are specially designed for people who loves to sketch and draw on the go, so the cover of sketch pad is made of selected waterproof PU material to ensure comprehensive protection for the inner pages
-There is also a practical elastic band on this sketch pads for drawing for easy and reliable binding and fixing
-The guested pocket on the art paper for drawing and painting offers extra storage room for cards, finished drawings, notes and memos
-There is also a ribbon bookmark inside the pages of drawing paper for easy flipping and marking of your sketch books for adults
-For easy detachment of your drawings, we designed a special easy-off line for you to tear off the pages without crease or damage
-This professional hardcover sketchbook for drawing with 60 sheets of high-quality acid-free drawing paper is a perfect solution for sketch, drawings, paintings with dry media such as pencil, charcoal, colored pencils, crayons and markers","Get  the perfect sketch every time with the Golbsart professional sketch book for drawings! This sketch book has 8.5x11 inch pages made of 110lb/180gsm acid-free drawing paper, which is specially developed for longer lasting and high resistance to aging and yellowness. The drawing surface of each page has moderate roughness for better adherence of pencil, charcoal and other dry media. 

Unlike ordinary spiral bound drawing pads, this mixed media sketchbook is designed with thread binding technology for stronger fixation of the pages and longer service life. This hardcover professional sketch pad is specially designed for people who loves to sketch and draw on the go, so the cover is made of selected waterproof PU material to ensure comprehensive protection for the inner pages. There is also a practical elastic band on this sketch pad for easy and reliable binding and fixing. 

The guested pocket on the art paper offers extra storage room for cards, finished drawings, notes and memos. There is also a ribbon bookmark inside the pages for easy flipping and marking of your sketches. For easy detachment of your drawings, we designed a special easy-off line for you to tear off the pages without crease or damage. This professional hardcover sketchbook with 60 sheets of high-quality acid-free drawing paper is a perfect solution for sketches, drawings, and paintings with dry media such as pencil, charcoal, colored pencils, crayons and markers."
"-Each booklet measures 5.5 x 8.5 inches
-There are 100 books to a pack
-The pages are made from white bond paper
-Pens, pencils, crayons, washable markers, and watercolors can all be used in these blank writing books.","With  this pack of 100 blank writing books, your students will have plenty of space to write, draw, and express their creativity! Each booklet measures 5.5 x 8.5 inches and the pages are made from white bond paper. Pens, pencils, crayons, washable markers, and watercolors can all be used in these books, making them perfect for a wide range of projects and activities."
"-Our Belief: It's not just a notebook. The right journal is an invitation to inspiration.
-Unusually thicker paper (112 pages / 56 sheets)
-Engineered perfection
-British design
-Beautiful presentation
-Each Beechmore Book comes in our premium presentation box as standard
-We've thought about every detail of the presentation of our Beechmore Books, right down to the sticker we use to secure our tissue wrapping.","With  our Beechmore Books, you're not just getting a notebook. The right journal is an invitation to inspiration. Our Belief: It's not just a notebook. The right journal is an invitation to inspiration.

Our Beechmore Books are designed with you in mind. We use only the highest quality materials, such as our unusually thicker paper (112 pages / 56 sheets). We've engineered perfection with our British design and beautiful presentation. Each Beechmore Book comes in our premium presentation box as standard.

We've thought about every detail of the presentation of our Beechmore Books, right down to the sticker we use to secure our tissue wrapping. When you open your Beechmore Book, you'll see and feel the difference. Order your Beechmore Book today!"
"-Each book has 32 blank pages
-There are 10 books in a pack
-The covers are made from sturdy, colored card stock
-The pages are made from white bond paper
-These books are great for all ages to express their creative side","This  10-pack of 32-page blank books is perfect for all ages to express their creative side. The covers are made from sturdy, colored card stock and the pages are made from white bond paper. These books are great for a variety of uses, such as drawing, painting, sketching, scrapbooking, journaling, and more. With 10 books in each pack, you'll have plenty to last you a long time. Let your creativity flow with these blank books!"
