Specs,Name,Features,Output 
{},"EVORETRO Clear Acrylic Display Case for Star Wars & GI-Joe 3.7 Carded Action Figurines, Premium Acrylic Case for Card Collectibles with UV Protection.","DIMENSION: This case is a product fit for the Star Wars and GI joe first series with an inner dimension of 228x164x28MM.  Manufacturer logo is placed at the back of the casing. HIGH QUALITY ACRYLIC CASE: This display case has a high transparent appearance quality that gives you a clear view on your displayed action figurines.  All edge was shining polished finished work which provide you a safe, clear & smooth texture & surface. FEATURES: Our display case is made from eco-friendly materials and has an UV protection Acrylic which helps in absorbing or screening out UV radiation and preventing damage to your collectibles. DUSTFREE COLLECTIBLES: Carded Action Figurines Clear Acrylic Display Case can gives a full protection for your collectibles or your kids toys and dinosaur toys against dust or damage. EASY to USE DISPLAY CASE: No tools required, as our display case is already assembled and ready to use for your carded action figures.","The EVORETRO Clear Acrylic Display Case is perfect for displaying your Star Wars and GI Joe action figures. Made from high-quality acrylic, this case is durable and provides UV protection for your collectibles. The clear design gives you a clear view of your displayed action figures, and the polished finish provides a safe and smooth surface. This display case is easy to use and requires no tools for assembly."
"{'Brand': ""Click N' Play"", 'Item Dimensions LxWxH': '13 x 3 x 9 inches', 'Model Name': 'Action figure', 'Material': 'Plastic', 'Style': 'Police Officer Action Figure Playset'}","Click N' Play 12"" Police Officer Action Figure Playset with Accessories.","Police force action packed pretend play set made of super strong, superior quality BPA free plastic material, with Authentic, highly detailed design with uniforms & accessories. Set includes; One 12"" police action figure in uniform, helmet, shotgun w/ case, handcuffs, baton, radio, riot shield, flashlight, rifle,. Fully poseable 12"" Inch action figure based on a 1:18 scale that can stand alone with 30 articulated joint points. A great set to enhance your childs imaginative skills and keep them busy for hours, also a great addition to other Click N Play Military Action Figure Play Sets.","The Click N' Play 12"" Police Officer Action Figure Playset is perfect for little ones who love to play pretend. Made of high-quality, durable plastic, this set includes an action figure, uniform, helmet, shotgun, handcuffs, baton, radio, riot shield, flashlight, and rifle. With 30 articulated joint points, the figure is fully poseable and can stand alone. The set is also compatible with other Click N Play Military Action Figure Play Sets."
"{'Toy vehicle form': 'Truck', 'Brand': 'Paw Patrol', 'Model Name': 'PAW Patrol', 'Age Range (Description)': 'Kid', 'Material': 'Plastic'}","PAW Patrol, Marshallâs Transforming Movie City Fire Truck with Extending Ladder, Lights, Sounds and Action Figure, Kids Toys for Ages 3 and up","TRANSFORMING FIRE TRUCK: This PAW Patrol movie truck has epic transformations, just like in the movie! Lift the top back, rotate and extend the ladder and press the button to pop up the projectile launcher!. 360-DEGREE ROTATING LADDER: The Transforming City Fire Trucks ladder rotates 360 degrees and extends taller than ladders on other PAW Patrol toy cars reach the tallest buildings in your rescues!. LAUNCH WATER CANNONS: Marshalls truck has a huge water cannon launcher! Press the button inside the truck to activate.  Load a projectile (2 included), press the button and launch!. LADDER SLIDE AND RESCUE NET: Slide toy figures down the ladders slide to safety and land on the rescue net! The truck even has flashing lights and realistic sound effects (batteries included)!. PAW PATROL MOVIE TOYS: PAW Patrol kids toys, action figures, toy cars and playsets are perfect gifts for birthdays and your holiday toy list 2021, for kids ages 3 and up, to create missions with their favorite pups!. Includes: 1 Marshall Transforming City Fire Truck, 1 Figure, 2 Projectiles, 1 Rescue Net Trampoline, 2 Removable Ladders, 1 Instruction Sheet. Covered by the Spin Master Care Commitment.","The PAW Patrol Marshall Transforming City Fire Truck is a toy truck that transforms into a fire truck, just like in the movie! The truck features a 360-degree rotating ladder that extends taller than other PAW Patrol toy cars, a water cannon launcher, a ladder slide, and a rescue net trampoline. The truck also has flashing lights and realistic sound effects (batteries included). The PAW Patrol Marshall Transforming City Fire Truck is perfect for kids ages 3 and up who love to create missions with their favorite pups!"
"{'Brand': 'Summit Appliance', 'Material': 'Stainless Steel, Ulc', 'Controls Type': 'Full Console', ' Form Factor ': 'Built-In', ' Noise ': '49 dB', 'Item Weight': '95 Pounds', 'Operating Frequency': '60 Hz', 'Voltage': '115 Volts', ' Capacity ': '12 Place Settings', 'Option Cycles': '5'}","Summit Appliance DW2435SSADA ADA Compliant 24"" Wide ENERGY STAR Certified Built-In Dishwasher with Stainless Steel Door and Front Controls, Digital Touch Controls, Automatic Detergent Detection","ENERGY STAR qualified performance to save on electricity and water usage. Stainless steel door for a professional look in any kitchen. Designed with a 32 1/8"" height to fit under lower ADA compliant counters. Advanced sound absorption technology for quiet operation.","The Summit DW2435SSADA ENERGY STAR qualified dishwasher features a digital control panel with 5 wash cycles. With a capacity of 12 place settings, this built-in dishwasher is perfect for families. The unit is designed with a 32 1/8"" height to fit under lower ADA compliant counters. The dishwasher also features sound absorption technology for quiet operation."
"{'Connector Type': 'RCA Female to HDMI Female', 'Brand': 'Tengchi', 'Number of Ports': '2', 'Unit Count': '1 Count', 'Number of Items': '1'}","RCA to HDMI Converter, Composite to HDMI Adapter Support 1080P PAL/NTSC Compatible with PS one, PS2, PS3, STB, Xbox, VHS, VCR, Blue-Ray DVD Players","RCA to HDMI Converter - Converts analog composite input to HDMI 1080p (60HZ) output,displayed on 1080p (60HZ) HD TV/ TV/ Moniter. Input ports: 1xRCA Female (Yellow, White, Red), Output ports: 1xHDMI1. 3 1080p (60HZ). NOT support 3D and 4KNOT support HDMI Converts to AV. AV to HDMI Converter - Plug and Play, Easy to Install and Operate, Powered by External USB Cable.  Note: Please hook up the USB power cable (included) to 5V 1Apower source during use (not included power supply ). Support PAL, NTSC3. 58, NTSC4. 43, SECAM, PAL/M, PAL/N standard TV formats input. Composite to HDMI Converter - Widely Applied to PS One, PS2, PS3, N64, STB, VHS, VCR, Blue-Ray DVD Players (Note: VHS recorders generally only have two RCA output ports, one video and one audio.  To use the converter, you only need to connect the yellow video cable and the white audio cable).","The RCA to HDMI Converter is a great way to connect your old composite input devices to your new HDMI 1080p (60HZ) TV or monitor. With easy to use plug and play installation, it's a great way to get the most out of your older devices. The converter is also widely compatible with PS One, PS2, PS3, N64, STB, VHS, VCR, and Blue-Ray DVD players."
"{'Power Source': 'Solar, Battery', 'Brand': 'JAWOO', 'Color': 'DM-1200V Silver', 'Material': 'Plastic'}","Calculator,JAWOO Standard Electronics Calculators with Big Button 12 Digit (DM-1200V Silver)","Duralable Material:This basic calculator main made of high quality ABS marterial,greatly increase the lifetime of the calcutor. Two Way Power: The calculator uses high conversion rate solar panels,solar power can be used in well-lit areas. At the same time, the calcutor can use AA battery. No need to worry about it running out the power. Big & Sensitive ButtonsThis compact calculator is not too many functions cluttering up the buttons, which are huge and feel descicive in use. And the key is sufficiently large that it enables the keys to be easily read and operated singly,make your every press more accurate and efficient. Quick and Easy Profit and Loss Calculation: This Calculator Displays Profit and Loss function buttonwhich makes us easy and quick to calculate the cumbersome and enormous data. Perfect For: It perfects for office, business, school, store, mall and home use.  It supports touch typing by user such as bank stuff, financial worker, front Desk clerk and data analyst etc.","The JAWOO Standard Electronics Calculators with Big Button 12 Digit is a great choice for those who are looking for a durable and reliable calculator. With its solar power and AA battery power options, you'll never have to worry about it running out of power. The large and sensitive buttons on this calculator make it easy to use, while the Profit and Loss function button makes it quick and easy to calculate Profit and Loss."
{},"Simplified Greenery Address and Password Book with Alphabetical Tabs - The Perfect Spiral Bound Address Organizer incl. Address Labels, Contact and Phone Section","Makes Your Life Way Easier: Say goodbye to messy sticky notes! Thanks to the compact address book you can keep all your contacts well organized in one place - no more tiresome searching for an address or phone number - Zicotos address books have got you covered. All-In-One Contact Book & More: The A5 small address book offers ample space for 12 contacts per letter w/ lines for address, phone numbers, email & notes! Extra pages include personal information, a perpetual calendar, data & notes. Change Of Address? No worries, just put a sticker over it: If you need to make any changes, simply use the included stickers to create a fresh address field - no striking through outdated data.  What a great way to keep your address book mess-free & save space. Always Quick At Hand & Easy To Use: The durable phone book makes it a breeze to access & use information quickly! All contact details are nicely organized and save you precious time - sophisticated simplicity right where you need it.","One of the most frustrating things about life is having to write down page after page of contact information. You know the drill: you've got your email, phone number, address, and a few notes for each contact. The Simplified Greenery Address and Password Book with Alphabetical Tabs is here to make your life way easier. This compact address book features 12 contacts per letter w/ lines for address, phone numbers, email & notes! There's also an extra page for personal information, a perpetual calendar and data & notes."
"{'Printing Technology': 'Thermal', 'Brand': 'IDPRT', 'Connectivity Technology': 'USB', 'Model Name': 'SP310', 'Compatible Devices': 'PC', 'Sheet Size': '1""-3.35"" Width', 'Color': 'Black', 'Printer Output': 'Monochrome', 'Print media': 'Labels', 'Resolution': '203 x 203 DPI'}","iDPRT Label Printer - 2022 Thermal Label Maker with Auto Label Detection, 1""-3.35"" Print Width for Home, Office&Small Business, Suitable for Barcode, Address, Filling and Storing, Support Windows&Mac","Auto Label DetectionWith the intelligent label recognition module, the thermal printer can detect labels automatically and print precisely.  No need to worry about typing wrong starting position or missing print content.  (SP310 is not for 46 label). Support Label Up to 3. 35'' WideThe address label printer supports label 1''(25mm)-3. 35''(85mm) in width.  It works with thermal UPC barcode/address labels from any brand on the market.  (SP310 is not for shipping label). Download Label Designer to Customize LabelWith the free Label Designer software for Windows, you can easily create any label you need to print.  The Label Designer software supports editing imported labels and designing new labels. Excellent Printing PerformanceWith a resolution of 203DPI and a high printing speed of 100pcs 23 labels per min (102mm/s, 50% faster than common label printers), the desktop thermal label printer would be your great helper in life and work. Compatible with Windows, Mac & LinuxThe thermal label printer works with Windows, Mac and Linux Systems.  You just need to connect the printer to your PC with the USB cord included in the package.  Please download the driver on iDPRT official website before start printing.","The iDPRT Label Printer is a thermal label maker that is designed for home, office, and small business use. It features auto label detection and supports label sizes up to 3.35"" wide. With the free Label Designer software, you can easily create any label you need to print. The thermal label printer has a resolution of 203DPI and a high printing speed of 100pcs 23 labels per min (102mm/s). It is compatible with Windows, Mac, and Linux systems and comes with a USB cord for easy connectivity."
"{'Material': 'Paper', 'Brand': 'AVERY', 'Finish Type': 'Polished', 'Shape': 'Rectangular', 'Number of Labels': '3000'}","Avery 5160 Easy Peel Address Labels , White, 1 x 2-5/8 Inch, 3,000 Count (Pack of 1)","Avery 5160 labels with Ultrahold permanent adhesive hold fast to envelopes, cardboard, paper, plastic, glass, tin and metal; great for FBA labels sticks firmly on polybags but removes cleanly. Print with confidence; only Avery mailing labels feature sure feed technology to provide a reliable feed through your printer, preventing mis alignments and jams. Labels remove quickly and easily from the backing sheet without any tears or rips; simply bend the label sheet to expose the pop up edge, peel off your label and apply. Get clear text and crisp graphics; optimized for laser printers to help prevent smearing or smudging.","The Avery 5160 Easy Peel Address Labels are perfect for any home or office mailing project. These labels are made of high-quality paper and feature a permanent adhesive that will hold fast to any envelope, cardboard, paper, plastic, glass, tin, or metal surface. With a rectangular shape and 3000 labels per pack, these labels are sure to meet any labeling need. The Avery 5160 Easy Peel Address Labels are also optimized for laser printers to help prevent smearing or smudging."
{},Custom Return Address Stamp â Self Inking Rubber Stamp â 3 Sizes and 8 Designs to Choose from,"Self-inking return address stamp customized with your name and address in a variety of designs. Features an ExcelMark-exclusive US patented double-sided ink pad.  Simply push it out, flip it over and reinsert to instantly double the life!. HOW TO ORDER: Click ""Customize Now"" and select your design, size, ink color, refill ink option, and expedite option.","This self-inking return address stamp is perfect for your home or office. It's personalized with your name and address in a variety of designs. The ExcelMark-exclusive US patented double-sided ink pad is easy to refill: simply push it out, flip it over and reinsert to instantly double the life!."
"{'Keyboard Description': 'Ergonomic', 'Connectivity Technology': '2.4 GHz RF Wireless Technology', 'Special Feature': 'Wireless', 'Compatible Devices': 'Laptop, PC, Chromebook', 'Brand': 'Adesso', 'Series': 'WKB-3150UB', 'Color': 'Black', 'Number of Keys': '87', 'Item Dimensions LxWxH': '13.8 x 9.4 x 1.5 inches', 'Number of Buttons': '87'}","Adesso Tru-Form Media 3150 - 2.4 GHz Wireless Ergo Trackball Keyboard (WKB-3150UB), Black","Wireless Technology - Works up to 30 feet of wireless distance.  Operates on 12 different channels, each with 65,536 different IDs. Ergonomic Contour Design - Minimizes forearm muscles from twisting and pains from Carpal Tunnel Syndrome. Split Key Design - Encourages natural position of hands, wrists and forearms for maximum comfort. Integrated Palm Rest - Keeps your wrists in the most comfortable position. Membrane Switch - 5 Million keystroke lifecycle for a quiet and fast typing experience. Built-in Trackball with Optical Sensor - Tracks accurately and precisely with less muscle movement for maximum comfort. Built-In Scroll Wheel - Provides convenience for office applications or web browsing.","The Adesso Tru-Form Media 3150 is an ergonomic wireless trackball keyboard that offers a convenient and comfortable way to work. The keyboard features a split key design that encourages a natural position of the hands, wrists and forearms, and an integrated palm rest that keeps your wrists in the most comfortable position. The keyboard also has a built-in trackball with an optical sensor that tracks accurately and precisely with less muscle movement for maximum comfort. The keyboard also has a built-in scroll wheel that provides convenience for office applications or web browsing."
"{'Compatible Material': 'Wood, Glass, Paper, Leather, Ceramic, Plastic, Metal, Rubber, Stone', 'Color': '0.9oz X 2', 'Brand': 'CAT PALM', 'Package Information': 'Can, Tube', 'Item Volume': '25 Milliliters'}","CAT PALM B-7000 Adhesive, Multi-Function Glues Paste Adhesive Suitable for Glass,Wooden, Jewelery, 0.9 oz, 2 Packs","Using a needle design, can be opened after use, won't get gagging. Allows Small Adhesive drops for fine, Precise , Controlled and no mess Applications. Multi Purpose,Able to permanently bond various materials. Suited for Smart Phone,Jewelry,Electronic Components,Toys, Metal, Glass, Rubber, Fiber, Paper, Ceramics, Wood, Cloth, Textile, Nylon, PVC, Leather and other materials. Impact resistance: Very high elasticity, can be stretched to its own length of 900% will not break, effectively bonding with the expansion of the material with the surface, improve the durability of the load bearing structure. Sealing characteristics: sealed and isolated gas, liquid, air flow, in the underwater environment with plastic long-term to maintain excellent bonding strength. Surface dry time:about 6 minutes.","The CAT PALM B-7000 Adhesive is a versatile, multi-purpose adhesive that can be used to bond various materials together. This adhesive is designed for use with smart phones, jewelry, electronic components, toys, metal, glass, rubber, fiber, paper, ceramics, wood, cloth, textile, nylon, PVC, leather and other materials. This adhesive features a needle design for easy opening and closing, and can be applied in small, precise drops for controlled and mess-free applications. This adhesive is also impact resistant and can be stretched to its own length of 900% without breaking, making it ideal for bonding with materials that expand or contract."
"{'Material': 'Plastic', 'Color': 'White-20 pack', 'Mounting Type': 'Wall Mount', 'Brand': 'FOWOKAW', 'Maximum Weight Recommendation': '15 Pounds'}","FOWOKAW Wall Hooks 15lb(Max) Transparent Reusable Seamless Hooks, Heavy Duty Self Adhesive Hooks,20 Pack","ADHESIVE HOOKS:1 set has 20 plastic hooks. Plastic hooks can hold up to 15 pounds. WIDE APPLICATIONSuitable for kitchen, bathroom, office, living room, bedroom, outdoor, can be used to hang clothes and hats, keys, bath towels, kitchen utensils, pictures and other items. SPECIAL REMINDER:Not suitable for wallpaper,Lime walls, painted walls and rough surfaces. May damage the wall surface. NICE DESIGN:Stylish and simple appearance, made of transparent and simple plastic self-adhesive hooks, can be used on horizontal and vertical surfaces, and can be rotated 180. AFTER-SALES SERVICE:If the quality of the product is defective, you can contact us at any time, we will reply you within 24 hours, re-ship the goods or refund the full payment to you.","The FOWOKAW Wall Hooks are perfect for organizing your space. Made of high-quality plastic, these hooks are durable and can hold up to 15 pounds. With a simple and elegant design, these hooks are perfect for any room in your home. The self-adhesive design makes them easy to install and they can be rotated 180 degrees."
"{'Theme': 'Alphabet', 'Brand': 'MADHOLLY', 'Color': '7 Sheets', 'Material': 'Paper', 'Installation Type': 'Stick,Adhesive,Peel', 'Unit Count': '7 Count'}","7 Sheets Letter Sticker, Colorful Gift Alphabet Sticker Self Adhesive Letter","Colorful letter sticker: package include 7 shiny colors (orange, purple, lake blue, red, green, golden, silver) to meet your needs. Easy to use: self adhesive design make it very easy to peel and stick.  They can stick to many smooth surfaces such ad paper, plastic, glass, wood, etc. Wide application: you can use these letter stickers on scrap books, handmade cards, greeting cards, envelope, gift tags, gift box, gift wrapping paper, etc.  Just enjoy your DIY time. Easy to combine words: these alphabet stickers can be easily put together to form some words, such as Happu Birthday, Merry Christmas, Happy New Year, Thank You, etc.  Great to decorate your gift wrapping paper, gift box and gift bag. High-quality material: Letter stickers are made of PU material which is not easy to be torn like paper stickers.","This letter sticker is a great idea for DIY projects and crafts. If you are looking for a colorful gift, these alphabet stickers will be a perfect choice. You can stick them to many smooth surfaces such as paper, plastic, glass, wood, etc. These colorful letter stickers are easy to peel and stick. They also come in 7 shiny colors (orange, purple, lake blue, red, green, golden, silver) to meet your needs. Package includes 7 letter stickers with self adhesive design and wide application."
"{'Color': 'White', 'Size': '8.5"" x 11"" | 30 sheets', 'Material': 'Paper', 'Brand': 'TownStix', 'Finish Type': 'Matte'}","30 Sheets, Printable White Sticker Paper, Laser/Inkjet Printing - Matte, Letter Size (8.5"" x 11"")","Laser/Inkjet Printing.  Matte surface prevents ink smudges for hassle-free printing. Easy to write.  Surface is similar to writing paper.  Write on it with pens, pencils or markers. Self Adhesive.  Just peel and paste! Sticks great on cardboard, plastic, paper and almost any flat surface. Dimensions: 8. 5"" x 11"".  Letter Size. Pack of 30 sheets, 30 labels.","The TownStix Printable White Sticker Paper is perfect for creating your own custom labels and stickers. This sticker paper is compatible with both laser and inkjet printers, and the matte surface prevents smudging for hassle-free printing. The sticker paper is also easy to write on with pens, pencils or markers, and the self-adhesive backing makes it easy to apply to a variety of surfaces."
"{'Material': 'Metal', 'Color': 'White', 'Mounting Type': 'Wall Mount', 'Finish Type': 'Oil', 'Brand': 'Ayssny'}","Adhesive Hooks Utility Hooks 44 lb/ 20 kg(Max), Heavy Duty Coat Hooks Waterproof and Oilproof Seamless Hooks , Reusable Wall Hook for Bathroom Kitchen","Suitable for Various Surfaces: These adhesive hooks are Widely used on a variety of surfaces, like Bricks, Glass, Metal, Wood door, Plank, Metal, Stainless steal, especially great for hanging shower or bath accessories in a bathroom or kitchen utensils and tools on a tile backsplash. Waterproof and Oil-resistant:It won't fall off even it is under the bathroom shower. No affecting its adhesive and sealing power. 180 Degree Rotated Hook:With the rotated design, The hook can be stuck on the wall, or hang on the bottom of the cupboard, saving more space for the kitchen. Strong and Heavy Duty:The imported adhesive does have an ultra-strong viscosity.  The load bearing capacity can be up to 20KG.  They are strong and firm and can surely hold your accessories in place. Wise Application:These sticky wall hooks suitable for hanging in bathroom, outdoor ,kitchen, decorations including ceiling hooks, coat hooks, key hooks, plant hook, bath towel hook, picture hooks.  Ideal for Christmas Lights and Christmas wreath also.","The Adhesive Hooks are made of high-quality metal and are designed to be used on a variety of surfaces. With a strong adhesive, they are perfect for hanging shower or bath accessories in a bathroom or kitchen utensils and tools on a tile backsplash. The hooks are also waterproof and oil-resistant, making them ideal for use in a variety of environments. With a 180-degree rotated design, the hooks can be stuck on the wall or hung on the bottom of the cupboard, saving more space for the kitchen. The Adhesive Hooks are also strong and heavy-duty, with a load-bearing capacity of up to 20 kg."
"{'Compatible Material': 'Wood, Foam, Fiberglass, Paper, Plastic, Fabric', 'Color': 'White', 'Brand': '3M', 'Package Information': 'Aerosol Can', 'Item Volume': '10.25 Fluid Ounces'}","3M 45 General Purpose Spray Adhesive,10.2 oz.","ALLOWS FOR QUICK REPOSITIONING for perfect placement. EFFECTIVE adhesive provides a secure bond in 30 seconds to 15 minutes. IDEAL FOR LIGHT-DUTY MATERIALS including paper, fabric, felt, lightweight wood, cork, flexible foam, plastic film, cardboard, fiberglass insulation, and more. GREAT FOR crafts, school projects, art projects, photo albums, light-duty repairs, light-duty soundproofing, decorating, and more.","The 3M 45 General Purpose Spray Adhesive is a versatile, all-purpose adhesive that can be used on light-duty materials such as paper, fabric, felt, lightweight wood, cork, flexible foam, plastic film, cardboard, fiberglass insulation, and more. This adhesive provides a secure bond in 30 seconds to 15 minutes, and allows for quick repositioning for perfect placement. It is great for crafts, school projects, art projects, photo albums, light-duty repairs, light-duty soundproofing, decorating, and more."
"{'Brand': 'SZZSAF', 'Material': 'Polyethylene', 'Color': 'Black', 'Item Dimensions LxWxH': '3.94 x 0.98 x 3.94 inches'}","Weather Stripping for Door/Windows X 26 Feet Long, V Shape Adhesive Weather Strip Door Frame/Windows Frame Seal PU Foam Strip Weather Seal Door Insulation Anti Collision Soundproof (0.3 inch) (Black)","V SHAPE WEATHER SEAL-The length is 26FEET, the width is 0. 3INCH, suitable for 0. 3inch~0. 1inch gap, please measure the thickness before purchasing, and seal the contact surface before using it, clean and dry it, keep it for 4 hours, and then tightly seal. GOOD MATERIAL-V SHAPE WEATHER STRIPPING uses highly elastic polyurethane foam (PU) and tear-resistant polyethylene cover (PE).  Extremely durable, longer service life than rubber tape, not easily deformed at high and low temperatures. STRONG ADHESIVE-V SHAPE WEATHER STRIPPING uses a strong self-adhesive design and has a good sealing effect.  Windproof and dustproof, keep temperature, save electricity bill. E APPLICATION - V SHAPE WEATHER STRIPPING foam tape more of a snug fit for various types of doors like wooden door, security door, sliding door, etc.","The weather stripping for your door or window is the perfect way to complete your home’s exterior. It protects against drafts and provides a neat, finished look.  This weather stripping is made of highly elastic PU foam, tear-resistant PE, and self-adhesive design."
"{'Material': 'Microfiber', 'Size': '1 roll: 0.08 x 55 yard (Black)', 'Color': 'Double Sided Adhesive Tape', 'Brand': 'ECO-FUSED'}",Eco-Fused Adhesive Sticker Tape for Use in Cell Phone Repair - 2mm Tape - Also Including 1 Pair of Tweezers/Eco-Fused Microfiber Cleaning Cloth (Black),Perfect for use in cell phone repairs. Double sided. 2mm width. Tweezers help with delicate procedures. One year money back guarantee.,The Eco-Fused Adhesive Sticker Tape is perfect for use in cell phone repairs. This double sided tape is 2mm wide and comes in a black color. The tweezers help with delicate procedures. The set also comes with a one year money back guarantee.
{},adidas 4DFWD Kick,,"The adidas 4DFWD Kick is a high-performance running shoe that provides a comfortable, stable ride. The 4DFWD technology helps to evenly distribute impact forces and protect your feet from shocks. The mesh upper is breathable and comfortable, and the shoes are finished with a durable rubber outsole."
{},adidas Men's Adizero Cleats,100% Synthetic Textile. Rubber sole. Men's supportive football cleats built for on-field quickness. Textile upper is lightweight and durable; Lace closure for a secure fit.,"The adidas Men's Adizero Cleats are built for on-field quickness with a textile upper that is lightweight and durable. The cleats have a lace closure for a secure fit, and the rubber sole provides grip and traction."
{},adidas Mens Adizero Adios Pro 2 Running Sneakers Shoes - Off White,"100% Polyester. Rubber sole. Upper Material: Celermesh 2. 0 polyester (partly recycled). Lining: textile. Closure: lace. Midsole: Lightstrike Pro, EnergyRods.","The adidas Men's Adizero Adios Pro 2 Running Sneakers are designed for speed and feature a Celermesh 2.0 upper for a snug, comfortable fit. The Lightstrike Pro midsole provides cushioning and energy return, while the EnergyRods provide support and stability. The rubber outsole provides traction and durability."
{},adidas Men's CF Lite Racer Byd,100% Other fibers. Imported. Man Made sole. Shaft measures approximately 6-12 inches from arch. Platform measures approximately 0-3 inches. Boot opening measures approximately 0-3 inches around.,"The adidas Men's CF Lite Racer BYD is a versatile sneaker that can be worn for both casual and athletic occasions. The shoe is constructed with a mesh upper for breathability and a lightweight feel, and features a durable outsole for traction and comfort. With a sleek design and a variety of color options, the CF Lite Racer BYD is a great choice for any man seeking a versatile and stylish sneaker."
{},adidas Men's Ultraboost DNA Running Shoe,"100% Textile Synthetics. Synthetic sole. Men's Ultraboost shoes for an energized run. Sock-like fit; adidas Primeknit upper for support and comfort. Midfoot cage and heel counter for support; The incredible energy return of adidas Boost is created by fusing together energy capsules, giving you the power to keep your feet moving. Stretchweb outsole flexes naturally for an energized ride; Continental Rubber gives you superior traction. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.  50% of the upper is textile, 75% of the textile is Primeblue yarn.  No virgin polyester.","The adidas Men's Ultraboost DNA Running Shoe is designed to give you an energized run. The sock-like fit and adidas Primeknit upper provides support and comfort, while the midfoot cage and heel counter offer additional support. The stretchweb outsole flexes naturally for an energized ride, and the Continental Rubber provides superior traction. The shoes are made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic."
{},adidas Women's Ultraboost 4.0 DNA Running Shoe,"100% Textile Synthetics. Made in the USA or Imported. Rubber sole. Women's slip-on running shoes that combine comfort and style. Slip-on construction for a sock-like fit that hugs the foot; Boost midsole for responsive energy return. adidas Primeknit: precision-made, seamless zones combine strength and performance with smooth comfort to ensure distraction-free movement. Stretchweb outsole flexes naturally for an energized ride, and Continental Rubber gives you superior traction. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.  50% of the upper is textile, 75% of the textile is Primeblue yarn.  No virgin polyester.","The adidas Women's Ultraboost 4.0 DNA Running Shoe is a slip-on style shoe that combines comfort and style. The Primeknit upper hugs the foot for a sock-like fit, while the Boost midsole provides responsive energy return. The Stretchweb outsole flexes naturally for an energized ride, and the Continental Rubber outsole provides superior traction. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic."
{},adidas Men's Victory 3 Bucket Hat,100% Polyester. Imported. Drawstring closure. Hand Wash Only. Boonie bucket silhouette with built in mesh for ventilation. UPF 50 sun protection to guard against the sun's most harmful rays. Moisture-wicking sweatband for dry and cool comfort. Adjustable drawstring to customize how you wear.,"The adidas Men's Victory 3 Bucket Hat is perfect for any activity, whether you're working out or just enjoying a day outside. The hat is made of 100% polyester and features a drawstring closure for a snug, comfortable fit. The mesh lining provides ventilation to keep you cool, while the UPF 50 sun protection protects you from the sun's harmful rays. The moisture-wicking sweatband keeps you dry and comfortable, and the adjustable drawstring lets you customize the fit."
{},adidas Women's Tiro Sweat-Wicking Soccer Track Jacket,,"The adidas Women's Tiro Sweat-Wicking Soccer Track Jacket is perfect for staying warm while you train. Made with sweat-wicking fabric, this jacket will keep you comfortable and dry all game long. The zip-up front and stand-up collar provide coverage and protection from the elements, while the side pockets allow you to keep your essentials close at hand. With a slim fit and an elastic hem, this jacket is designed to move with you as you train."
{},adidas Men's Tapered Joggers Pants,Drawstring closure. Machine Wash. Elasticized drawstring waist. 2 front welt pockets. Brand logo print - Tapered leg.,"The adidas Men's Tapered Joggers Pants are made with a soft knit fabric and have an elasticized drawstring waist for a comfortable, adjustable fit. The pants are tapered at the leg for a modern look and feature 2 front welt pockets and a brand logo print."
{},adidas mens Essentials 3-Stripes Fleece Tapered Pants,"70% Cotton, 30% Polyester. Imported. 70% Cotton/30% Recycled Polyester lining. No closure. Machine Wash. Regular tapered fit is comfortable and roomy yet narrow at the ankle. Elastic cuffs.","The adidas mens Essentials 3-Stripes Fleece Tapered Pants are made with soft, recycled materials that help you stay comfortable all day. These pants feature a regular tapered fit, elastic cuffs and 3-Stripes down the legs."
{},adidas Women's Aeroready Sereno Cut 3-Stripes Slim Tapered Tracksuit Bottoms,"100% Polyester. Imported. Pull On closure. Machine Wash. Women's soccer pants for a full day of activity. Made from water-absorbent materials designed to wick moisture away from your body, adidas AEROREADY keeps you feeling dry as you move. Drawcord on elastic waist provides a stay-put fit; Front zip pockets for storage; Ankle zips for convenience.","The adidas Women's Aeroready Sereno Cut 3-Stripes Slim Tapered Tracksuit Bottoms are made from water-absorbent materials designed to wick moisture away from your body, keeping you feeling dry as you move. These pants have a drawcord on the elastic waist for a stay-put fit, front zip pockets for storage, and ankle zips for convenience."
{},adidas Originals Men's Smooth Runner Sneaker,"Rubber sole. adidas is the original sports brand, driven by innovation and a bias to action.  We are creators, makers and doers. No matter how serious you are about sports a sporting lifestyle does not end in the locker room.","The adidas Originals Men's Smooth Runner Sneaker is a versatile sneaker that can be worn for casual or athletic purposes. The rubber sole provides traction and durability, while the sleek design makes this shoe versatile and stylish."
{},adidas Men's Runfalcon 2.0 Running Shoe,100% Rubber. Rubber sole. Men's casual athletic sneakers for an active lifestyle. Regular fit. Mesh upper for lightweight breathability and no-sew heel for support. EVA midsole for lightweight cushioning.,The Adidas Men's Runfalcon 2.0 Running Shoe is a versatile sneaker that can be worn for both casual and active lifestyles. The mesh upper is breathable and the EVA midsole provides lightweight cushioning. The no-sew heel provides support and the rubber outsole gives you traction on any surface.
